lat,lon,deltaT,scenario
-84.86197029204237,15.0,-0.73779297,Low Emissions
-84.86197029204237,16.875,-0.6515198,Low Emissions
-84.86197029204237,18.75,-0.49316406,Low Emissions
-84.86197029204237,20.625,-0.48046875,Low Emissions
-84.86197029204237,22.5,-0.40885925,Low Emissions
-84.86197029204237,24.375,-0.32243347,Low Emissions
-84.86197029204237,26.25,-0.24121094,Low Emissions
-84.86197029204237,28.125,-0.17773438,Low Emissions
-84.86197029204237,30.0,-0.096343994,Low Emissions
-84.86197029204237,31.875,-0.012863159,Low Emissions
-84.86197029204237,33.75,0.07633972,Low Emissions
-84.86197029204237,35.625,0.14128113,Low Emissions
-84.86197029204237,37.5,0.22280884,Low Emissions
-84.86197029204237,39.375,0.28303528,Low Emissions
-84.86197029204237,41.25,0.31884766,Low Emissions
-84.86197029204237,43.125,0.42936707,Low Emissions
-84.86197029204237,45.0,0.47297668,Low Emissions
-84.86197029204237,46.875,0.52815247,Low Emissions
-84.86197029204237,48.75,0.61538696,Low Emissions
-84.86197029204237,50.625,0.6141052,Low Emissions
-84.86197029204237,52.5,0.6484375,Low Emissions
-84.86197029204237,54.375,0.6590271,Low Emissions
-84.86197029204237,56.25,0.69970703,Low Emissions
-84.86197029204237,58.125,0.7428436,Low Emissions
-84.86197029204237,60.0,0.7661133,Low Emissions
-84.86197029204237,61.875,0.76904297,Low Emissions
-84.86197029204237,63.75,0.7171173,Low Emissions
-84.86197029204237,65.625,0.6845703,Low Emissions
-84.86197029204237,67.5,0.6463165,Low Emissions
-84.86197029204237,69.375,0.6826172,Low Emissions
-84.86197029204237,71.25,0.6855469,Low Emissions
-84.86197029204237,73.125,0.658371,Low Emissions
-84.86197029204237,75.0,0.73031616,Low Emissions
-84.86197029204237,76.875,0.69514465,Low Emissions
-84.86197029204237,78.75,0.7262268,Low Emissions
-84.86197029204237,80.625,0.7283478,Low Emissions
-84.86197029204237,82.5,0.74983215,Low Emissions
-84.86197029204237,84.375,0.7402344,Low Emissions
-84.86197029204237,86.25,0.73698425,Low Emissions
-84.86197029204237,88.125,0.7794647,Low Emissions
-84.86197029204237,90.0,0.77490234,Low Emissions
-84.86197029204237,91.875,0.7897186,Low Emissions
-84.86197029204237,93.75,0.7652893,Low Emissions
-84.86197029204237,95.625,0.7980194,Low Emissions
-84.86197029204237,97.5,0.7727814,Low Emissions
-84.86197029204237,99.375,0.8108673,Low Emissions
-84.86197029204237,101.25,0.79133606,Low Emissions
-84.86197029204237,103.125,0.8033905,Low Emissions
-84.86197029204237,105.0,0.7776642,Low Emissions
-84.86197029204237,106.875,0.76382446,Low Emissions
-84.86197029204237,108.75,0.74739075,Low Emissions
